1	1	0.5
3	1	0.5
5	1	0.5
7	1	0.5
9	1	0.5
11	1	0.5
13	1	0.5
15	1	0.5
17	1	0.5
19	1	0.5
21	1	0.5
23	1	0.5
25	1	0.5
27	1	0.5
29	1	0.5
31	1	0.5
33	1	0.5
35	1	0.5
37	1	0.5
39	1	0.5
41	1	0.5
43	1	0.5
45	1	0.5
47	1	0.5
49	1	0.5
51	1	0.5
53	1	0.5
55	1	0.5
57	1	0.5
59	1	0.5
61	1	0.5
63	1	0.5
65	1	0.5
67	1	0.5
69	1	0.5
71	1	0.5
73	1	0.5
75	1	0.5
77	1	0.5
79	1	0.5
81	1	0.5
83	1	0.5
85	1	0.5
87	1	0.5
89	1	0.5
91	1	0.5
93	1	0.5
95	1	0.5
97	1	0.5
99	1	0.5
101	1	0.5
103	1	0.5
105	1	0.5
107	1	0.5
109	1	0.5
111	1	0.5
113	1	0.5
115	1	0.5
117	1	0.5
119	1	0.5
121	1	0.5
123	1	0.5
125	1	0.5
127	1	0.5
1	3	0.5
3	3	0.5
5	3	0.5
7	3	0.5
9	3	0.5
11	3	0.5
13	3	0.5
15	3	0.5
17	3	0.5
19	3	0.5
21	3	0.5
23	3	0.5
25	3	0.5
27	3	0.5
29	3	0.5
31	3	0.5
33	3	0.5
35	3	0.5
37	3	0.5
39	3	0.5
41	3	0.5
43	3	0.5
45	3	0.5
47	3	0.5
49	3	0.5
51	3	0.5
53	3	0.5
55	3	0.5
57	3	0.5
59	3	0.5
61	3	0.5
63	3	0.5
65	3	0.5
67	3	0.5
69	3	0.5
71	3	0.5
73	3	0.5
75	3	0.5
77	3	0.5
79	3	0.5
81	3	0.5
83	3	0.5
85	3	0.5
87	3	0.5
89	3	0.5
91	3	0.5
93	3	0.5
95	3	0.5
97	3	0.5
99	3	0.5
101	3	0.5
103	3	0.5
105	3	0.5
107	3	0.5
109	3	0.5
111	3	0.5
113	3	0.5
115	3	0.5
117	3	0.5
119	3	0.5
121	3	0.5
123	3	0.5
125	3	0.5
127	3	0.5
1	5	0.5
3	5	0.5
5	5	0.5
7	5	0.5
9	5	0.5
11	5	0.5
13	5	0.5
15	5	0.5
17	5	0.5
19	5	0.5
21	5	0.5
23	5	0.5
25	5	0.5
27	5	0.5
29	5	0.5
31	5	0.5
33	5	0.5
35	5	0.5
37	5	0.5
